"";"x"
"1";"ain't"
"2";"aren't"
"3";"can't"
"4";"couldn't"
"5";"didn't"
"6";"doesn't"
"7";"don't"
"8";"hasn't"
"9";"isn't"
"10";"mightn't"
"11";"mustn't"
"12";"neither"
"13";"never"
"14";"no"
"15";"nobody"
"16";"nor"
"17";"not"
"18";"shan't"
"19";"shouldn't"
"20";"wasn't"
"21";"weren't"
"22";"won't"
"23";"wouldn't"
