"","created","md_arousal","q1_arousal","q3_arousal","iqr_arousal","md_valence","q1_valence","q3_valence","iqr_valence"
"1",2017-10-01 05:00:00,0.276435792528676,-0.0409720250951612,0.702992232885348,0.743964257980509,1.08609775234242,0.476495331570667,1.66221728622616,1.18572195465549
"2",2017-10-01 06:00:00,0.703184724641045,0.164741382355268,0.966953719721922,0.802212337366654,0.860827580084089,0.339000057479647,1.66201960531084,1.3230195478312
"3",2017-10-01 09:00:00,0.580586205382407,0.207650272488252,0.969717360627295,0.762067088139043,0.48846835037362,-0.257382387668699,1.25813103268724,1.51551342035594
"4",2017-10-01 10:00:00,0.797048556869824,0.240832335194454,1.38008506791455,1.13925273272009,0.267551310159086,-0.729797486808383,1.14289704533255,1.87269453214093
"5",2017-10-01 11:00:00,0.644276624659254,0.26877797892958,1.23821588704633,0.969437908116751,0.450178824355899,-0.01272769240111,1.47746816702308,1.49019585942419
"6",2017-10-01 12:00:00,0.594254885627416,0.208712935650134,1.30578719808761,1.09707426243748,0.494352324917264,-0.411981246683407,1.12776415118037,1.53974539786377
"7",2017-10-01 13:00:00,0.611294249083491,0.23031804941657,1.31286024584122,1.08254219642465,0.654132143589273,-0.464371780259216,1.45364777349697,1.91801955375618
"8",2017-10-01 14:00:00,0.651616364556504,0.266280534614182,1.20922766750798,0.942947132893798,0.618496160052752,-0.123139415603795,1.20441457799423,1.32755399359802
"9",2017-10-01 15:00:00,0.688436063920644,0.259002788448678,1.15588637805797,0.896883589609297,0.458782145265664,-0.337939339961688,1.30309281806958,1.64103215803127
"10",2017-10-01 16:00:00,0.78649591348754,0.165864348647774,1.34099132398448,1.17512697533671,0.289094670769499,-0.495685009543828,1.19318817909266,1.68887318863649
"11",2017-10-01 17:00:00,0.676927191245142,0.157116642473146,1.26987859056255,1.1127619480894,0.399019893820898,-0.53909685489184,1.26712769068664,1.80622454557848
"12",2017-10-01 18:00:00,0.648154749971745,0.177907996261352,1.26306948789447,1.08516149163312,0.426383079079589,-0.426595544170596,1.22370703365088,1.65030257782148
"13",2017-10-01 19:00:00,0.697489449323205,0.258212808865826,1.2928829629579,1.03467015409208,0.460564009479732,-0.336521793619009,1.35002108222715,1.68654287584616
"14",2017-10-01 20:00:00,0.685140894813935,0.222774698481724,1.31934826637179,1.09657356789006,0.292406941207532,-0.68280063916068,1.22713401601458,1.90993465517526
"15",2017-10-01 21:00:00,0.668938055439988,0.247939306028421,1.28390843728409,1.03596913125567,0.665262607494169,-0.294580058249074,1.26504714981771,1.55962720806678
"16",2017-10-01 22:00:00,0.619854630000739,0.129470997604813,1.31174739171032,1.18227639410551,0.733082336909999,-0.142877230078367,1.38368661230078,1.52656384237914
"17",2017-10-01 23:00:00,0.636589817359428,0.288679624915659,1.20646811143759,0.917788486521931,0.777387497659255,0.0249999999999996,1.46372991210221,1.43872991210221
"18",2017-10-02 00:00:00,0.642401977112719,0.146159797739126,1.26816264142464,1.12200284368551,0.615989826094686,-0.355659986647452,1.62762737527636,1.98328736192381
"19",2017-10-02 01:00:00,0.766526263839523,0.412087918341848,1.02458728789418,0.612499369552334,0.387012130032787,-0.494979224900773,1.27029656714843,1.7652757920492
"20",2017-10-02 02:00:00,0.680773938709253,0.246285046960217,1.2608220511638,1.01453700420358,0.532456892818996,-0.0260804738628918,1.66484805719085,1.69092853105374
"21",2017-10-02 03:00:00,0.592572212267281,0.282188317273219,1.17711050189049,0.894922184617275,0.412710956441091,-0.361944118038395,1.12673282046261,1.488676938501
"22",2017-10-02 04:00:00,0.8627733715932,0.241739571517648,1.31805031903336,1.07631074751571,0.230722486157968,-0.404527561026656,1.20848476240709,1.61301232343374
"23",2017-10-02 05:00:00,0.836556994687983,0.240633531594399,1.43161924792111,1.19098571632671,0.354306739742011,-0.464495840739349,1.25338257047256,1.71787841121191
"24",2017-10-02 06:00:00,0.611016338124908,0.164416273564947,1.27803272103973,1.11361644747478,0.312548858251249,-0.381278722764822,1.13946291174409,1.52074163450891
"25",2017-10-02 07:00:00,0.651319278089973,0.201096893801083,1.24913594609481,1.04803905229373,0.588511029471462,-0.26836326168115,1.18323002357117,1.45159328525232
"26",2017-10-02 08:00:00,0.713919449812522,0.10670649877401,1.22026610636335,1.11355960758934,0.62887916817632,-0.136576050339978,1.44655655169708,1.58313260203706
"27",2017-10-02 09:00:00,0.680821756663769,0.237833356100672,1.18582053979657,0.947987183695895,0.451131696087209,-0.139527730819206,1.18789873123944,1.32742646205864
"28",2017-10-02 10:00:00,0.442596473104718,0.0319732121332367,0.885011150093184,0.853037937959948,0.499642571765296,-0.246960012417036,1.06252650346198,1.30948651587901
"29",2017-10-02 11:00:00,0.38304781977513,0.0196115796618057,0.980946711163116,0.96133513150131,0.627001925497974,-0.268469629776152,1.24589289025377,1.51436252002992
"30",2017-10-02 12:00:00,0.663328280419975,0.165650526708696,1.34223053224027,1.17658000553157,0.316802118211057,-0.803423723695762,1.00659186802709,1.81001559172285
"31",2017-10-02 13:00:00,0.668928611519734,0.2039071889887,1.25241736670285,1.04851017771415,0.517971029994259,-0.220526974286209,1.16869510700764,1.38922208129385
"32",2017-10-02 14:00:00,0.581243239185325,0.291518285525092,1.40864738628212,1.11712910075703,0.577282267298189,0.12190166046453,1.11757254399035,0.995670883525819
"33",2017-10-02 15:00:00,0.489173953102896,-0.0423103646290206,1.14828187439392,1.19059223902294,0.414668356129183,-0.372781682102811,0.944220546319527,1.31700222842234
