"";"x"
"1";"barely"
"2";"faintly"
"3";"few"
"4";"hardly"
"5";"little"
"6";"only"
"7";"rarely"
"8";"seldom"
"9";"slightly"
"10";"sparesly"
"11";"sporadically"
"12";"very few"
"13";"very little"
