"","index","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","n"
"1",2017-10-01 09:00:00,0,0,0.142857142857143,0.142857142857143,0.285714285714286,0.142857142857143,0.285714285714286,0,4.85203026391962
"2",2017-10-01 10:00:00,0.0628185558915076,0,0,0.0628185558915076,0.405772166162739,0.0628185558915076,0.342953610271231,0.0628185558915076,11.0341151706362
"3",2017-10-01 11:00:00,0.371274299033009,0,0.257451401933982,0.113822897099026,0,0.257451401933982,0,0,9.65194452670022
"4",2017-10-01 12:00:00,0,0,0,0.463727729780152,0,0,0.463727729780152,0.0725445404396967,9.55478077824657
"5",2017-10-01 13:00:00,0.248437584751276,0.0582932366341247,0.1533654106927,0.248437584751276,0.116586473268249,0.0582932366341247,0,0.116586473268249,18.8463079441533
"6",2017-10-01 14:00:00,1,0,0,0,0,0,0,0,6.29894924685594
"7",2017-10-01 15:00:00,0.246701103177654,0,0,0.337289855143224,0,0.0301962506551898,0,0.385812791023932,22.9547432386548
"8",2017-10-01 16:00:00,0.175105975573415,0.0486129985876612,0.0816182689050402,0.30689822666923,0.0613811800634741,0.173455266551322,0,0.152928083649858,54.2870714888404
"9",2017-10-01 17:00:00,0.233654420893788,0.0470667818969046,0.0422177406647058,0.125796869292339,0.107857551601449,0.163634123579374,0.137715813678948,0.142056698392493,65.67354573187
"10",2017-10-01 18:00:00,0.340365902477861,0,0.110588680415494,0.321934455741945,0,0.134953727685121,0,0.0921572336795785,37.6067701299471
"11",2017-10-01 19:00:00,0.222825881946738,0.0102777500982722,0.1023067421073,0.253659132241555,0.0616665005896334,0.238188699904261,0.0102777500982722,0.100797543013968,67.4415289272764
"12",2017-10-01 20:00:00,0.666666666666667,0,0,0.333333333333333,0,0,0,0,2.07944154167984
"13",2017-10-01 21:00:00,0.231421652373438,0,0.0895261158755207,0.320947768248959,0,0.0895261158755207,0,0.268578347626562,7.74240202181578
"14",2017-10-01 22:00:00,0.140582056555902,0,0.16799380034239,0.261715171379659,0,0.0468606855186341,0.0468606855186341,0.335987600684781,14.7916568630716
"15",2017-10-01 23:00:00,0.241431776378228,0,0.207158881891141,0.241431776378228,0.034272894487087,0,0.207158881891141,0.0685457889741739,20.2243548709054
"16",2017-10-02 00:00:00,0.2,0,0.2,0.2,0,0.4,0,0,3.46573590279973
"17",2017-10-02 01:00:00,0,0,0,0,0,0,0,1,0.693147180559945
"18",2017-10-02 02:00:00,0.164890208036694,0,0,0.164890208036694,0,0.164890208036694,0.505329375889917,0,8.40737832540903
"19",2017-10-02 03:00:00,0.4,0,0,0.4,0,0.2,0,0,8.0471895621705
"20",2017-10-02 04:00:00,0.235859488570597,0.113124091435226,0.089648721426492,0.235859488570597,0.089648721426492,0.0565620457176128,0,0.179297442852984,36.7639026364338
"21",2017-10-02 05:00:00,0.245618039730394,0,0.185597286273648,0.245618039730394,0,0.120041506913492,0.151426064328625,0.0516990630234462,26.8146902486644
"22",2017-10-02 06:00:00,0.206453161169786,0.0643788841172433,0.134931573345117,0.143043175649337,0.0944030054335081,0.183571743560946,0.0859581549979793,0.0872603017260829,48.0132965294813
"23",2017-10-02 07:00:00,0.4,0,0.2,0.2,0,0.2,0,0,5.49306144334055
"24",2017-10-02 08:00:00,0.208660179927623,0,0,0.312990269891435,0,0.208660179927623,0,0.269689370253318,6.64378973314767
"25",2017-10-02 09:00:00,0,0,0,0,0,0,0.25,0.75,2.77258872223978
"26",2017-10-02 10:00:00,0.0922121322095724,0,0.0922121322095724,0.0249192364241229,0.195814886233848,0,0.170895649809725,0.423945963113159,27.8157471907506
"27",2017-10-02 11:00:00,0.177032971173826,0.157101107987689,0,0.177032971173826,0,0.157101107987689,0,0.331731841676972,16.3267426329198
"28",2017-10-02 12:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
"29",2017-10-02 13:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
"30",2017-10-02 14:00:00,0.333333333333333,0,0,0.666666666666667,0,0,0,0,4.15888308335967
"31",2017-10-02 15:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
"32",2017-10-02 16:00:00,0.25,0,0,0.5,0,0.25,0,0,2.77258872223978
"33",2017-10-02 17:00:00,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,14.1554966138853
"34",2017-10-02 18:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
"35",2017-10-02 19:00:00,0.092306033269214,0,0.046153016634607,0.046153016634607,0,0.046153016634607,0.357602473475245,0.411632443351719,15.018458837644
"36",2017-10-02 20:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
"37",2017-10-02 21:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
"38",2017-10-02 22:00:00,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,3.29583686600433
"39",2017-10-03 00:00:00,0.5,0,0,0.5,0,0,0,0,3.2188758248682
"40",2017-10-03 02:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
"41",2017-10-03 03:00:00,0,0.5,0,0,0,0,0,0.5,5.27811465923052
"42",2017-10-03 04:00:00,0.596240620465406,0,0.100939844883649,0.100939844883649,0,0.100939844883649,0.100939844883649,0,6.86693328446188
"43",2017-10-03 05:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
"44",2017-10-03 06:00:00,0.2,0.2,0,0.4,0,0.2,0,0,3.46573590279973
"45",2017-10-03 07:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
"46",2017-10-03 08:00:00,0.380093766715934,0.239812466568131,0,0,0,0.380093766715934,0,0,2.89037175789616
"47",2017-10-03 10:00:00,1,0,0,0,0,0,0,0,0.693147180559945
"48",2017-10-03 11:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
